"LIBRARYREFERENCE","FOOTPRINT1","ARROW PART NUMBER","ARROW PRICE/STOCK","BRAND","CASE/PACKAGE","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPOSITION","CONFIGURATION","CONTACT MATERIAL","CONTACT PLATING","CURRENT RATING","DATASHEET LINK","DATASHEET URL","DATASHEET VERSION","DATASHEETVERSION","DEPTH","ELEMENT CONFIGURATION","EMITTER BASE VOLTAGE (VEBO)","FACTORY PACK QUANTITY","FT MIN (MHZ)","HEIGHT","HFE MIN","HOLE DIAMETER","IC CONTINUOUS (A)","IF - FORWARD CURRENT","INSULATION RESISTANCE","IR - REVERSE CURRENT","LEAD FREE","LENGTH","LIFECYCLE STATUS","MANUFACTURER","MANUFACTURER LIFECYCLE STATUS","MANUFACTURER URL","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MAX COLLECTOR CURRENT","MAX JUNCTION TEMPERATURE (TJ)","MAX OPERATING TEMPERATURE","MAX POWER DISSIPATION","MAX SURGE CURRENT","MAXIMUM OPERATING TEMPERATURE","MILITARY STANDARD","MIN OPERATING TEMPERATURE","MINIMUM OPERATING TEMPERATURE","MOUNT","MOUNTING STYLE","MOUNTING TECHNOLOGY","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NEXARPARTID","NUMBER OF ELEMENTS","NUMBER OF GANGS","NUMBER OF PINS","NUMBER OF TURNS","OPERATING TEMPERATURE RANGE","PACKAGE / CASE","PACKAGE QUANTITY","PACKAGE REFERENCE","PACKAGE URL","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PACKING","PART NUMBER","PARTNUMBER","PEAK REVERSE VOLTAGE","POLARITY","POWER DISSIPATION","POWER RATING","PRODUCT","PRODUCT CATEGORY","RADIATION HARDENING","REACH SVHC","RECOVERY TIME","RESISTANCE","ROHS","ROHSCOMPLIANT","SCHEDULE B","SERIES","TEMPERATURE COEFFICIENT","TERMINATION","TOLERANCE","TYPE","UNIT WEIGHT","VF - FORWARD VOLTAGE","VOLTAGE RATING","VOLTAGE RATING (DC)","WEIGHT","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"3.5mm female phone jack","SWIT-35RASMT4BHNTRX_V","","","","","","","","","35RASMT4BHNTRX","Manufacturer URL","http://www.switchcraft.com/","Datasheet","http://www.switchcraft.com/Drawings/35rasmt4bhntrx_cd.pdf","","","","","Silver","Silver","50 mA","","","","Rev. C, 07/2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","3000","","","Female 3.5 mm Phone Jack, 5 Position, Height 5 mm","35RASMT4BHNTRX","","Tape and Reel","","","","","","","","","","","","","","","true","","","","","","","","","","12 V","","","","J?","Female 3.5 mm Phone Jack, 5 Position, Height 5 mm, RoHS, Tape and Reel"
"Capasitor - 0805","0805","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"Connector","Connector","ACML-0805-500-T","https://www.arrow.com/en/products/acml-0805-500-t/abracon","","","","","","","*","","","","","","","","","","","","https://abracon.com/Magnetics/new/ACML-0805.pdf","","","","","","","","","1.05mm","","","","","","","","","","","","","ABRACON","ACML-0805-500-T","","","","","","","","","","","","","815-ACML-0805-500T","https://www.mouser.co.uk/ProductDetail/ABRACON/ACML-0805-500-T?qs=qw2lGDycG5tBjukxHQX6NA%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","FB?","Ferrite Bead"
"Diode - 1N4148","1N4148","","","DiodesIncorporated","","","","","","1N4148W-7-F","","","","","","","","Single","","","","","http://www.farnell.com/datasheets/1915529.pdf","Rev. 24-2, 10/2013","","","","","3000","","1.25mm","","","","0.15A","","1uA","","2.85mm","","DiodesIncorporated","","http://www.diodes.com/","","","","","","","2A","+150C","","","-65C","","SMD/SMT","","","","","","","","","-65Cto+150C","SOD-123","","SOD123-2","http://www.diodes.com/datasheets/ds18004.pdf","","","","Reel","","","","100V","","","","SwitchingDiodes","Diodes-GeneralPurpose,Power,Switching","","","4ns","","True","","","1N4148","","","","SwitchingDiode","0.000353oz","1.25V","","","","1.7mm","","D?","Fast Switching Diode, 100 V, 0.15 A, -65 to 150 degC, 2-Pin?SOD123, RoHS, Tape and Reel"
"Elco - 1.0uF","106CKR050M","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","C?",""
"Elco - 100uF","107CKR050M","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"Elco - 10uF","106CKR050M","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"Elco - 2000uF","2200cap","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"Potentiometer","Potentiometer 15mm","","","","","","","","","249FGJSPXB25503KA","","","","","","","Cermet, Potentiometer","","","Tin","","","","","","12.7mm","","","","","13.11mm","","9.525mm","","","1GO","","","12.7mm","","","","","","","","","125°C","","","","Not","-55°C","","Panel, Through Hole","","","","","42669055","","1","","1","","","","","","","","","","","","","","","","1W","","","","Unknown","","50kO","Compliant","","","","100ppm/°C","Pin","10%","Potentiometer","","","224V","","","12.7mm","","R?","249FGJSPXB25503KA Res Cermet POT 50K Ohm 20% 1W 1(Elec)/1(Mech)Turn 6.35mm Pin Panel Mount/Through Hole Bulk"
"Resistor - 1W Through Hole","0.33 1W","","","","","","","","","RK73B2ATTD224J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KOA Speer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RK73B2ATTD224J","","","","","","","","","","","","","","","","","","","","","","","","","","","R?",""
"Resistor 0805","0805","","","","","","","","","CRCW080510R0FKEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vishay Dale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CRCW080510R0FKEA","","","","","","","","","","","","","","","","","","","","","","","","","","","R?",""
"Transistor - BC547","BC547","","","","","","","","","BC547BG","Manufacturer URL","http://www.onsemi.com/","Datasheet","http://www.onsemi.com/pub_link/Collateral/BC546-D.PDF","Package Specification","http://www.onsemi.cn/pub_link/Collateral/2N6426-D.PDF","","","","","","","","","Rev. 7","","","","","150","","","","0.1","","","","","","","On Semiconductor","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","3-Pin Transistor Outline, Body 4.825 x 3.685 mm, Pitch 1.27 mm","TO-92-3-29-11_AM_SL","Rev. AM","","Bulk Box","","BC547BG","","NPN","","","","","","","","","TRUE","","","","","","","","","","","","","","","Q?","Amplifier Transistor, NPN Silicon, 3-Pin TO-92, Pb-Free, Bulk Box"
"Transistor - BC547_1","BC547","","","","","","","","","BC547BG","Manufacturer URL","http://www.onsemi.com/","Datasheet","http://www.onsemi.com/pub_link/Collateral/BC546-D.PDF","Package Specification","http://www.onsemi.cn/pub_link/Collateral/2N6426-D.PDF","","","","","","","","","Rev. 7","","","","","150","","","","0.1","","","","","","","On Semiconductor","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","3-Pin Transistor Outline, Body 4.825 x 3.685 mm, Pitch 1.27 mm","TO-92-3-29-11_AM_SL","Rev. AM","","Bulk Box","","BC547BG","","NPN","","","","","","","","","TRUE","","","","","","","","","","","","","","","Q?","Amplifier Transistor, NPN Silicon, 3-Pin TO-92, Pb-Free, Bulk Box"
"Transistor - BC557","BC557","","","","","","","","","BC557CG","Manufacturer URL","http://www.onsemi.com/","Datasheet","http://www.onsemi.com/pub_link/Collateral/BC556B-D.PDF","Package Specification","http://www.onsemi.cn/pub_link/Collateral/2N6426-D.PDF","","","","","","","","","Rev. 3","","","","","","","","","-0.1","","","","","","","On Semiconductor","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","3-Pin Transistor Outline, Body 4.825 x 3.685 mm, Pitch 1.27 mm","TO-92-3-29-11_AM_SL","Rev. AM","","Bulk Box","","BC557CG","","PNP","","","","","","","","","TRUE","","","","","","","","","","","","","","","","Amplifier Transistor, PNP Silicon, 3-Pin TO-92, Pb-Free, Bulk Box"
"Transistor - BC557_1","BC557","","","","","","","","","BC557CG","Manufacturer URL","http://www.onsemi.com/","Datasheet","http://www.onsemi.com/pub_link/Collateral/BC556B-D.PDF","Package Specification","http://www.onsemi.cn/pub_link/Collateral/2N6426-D.PDF","","","","","","","","","Rev. 3","","","","","","","","","-0.1","","","","","","","On Semiconductor","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","3-Pin Transistor Outline, Body 4.825 x 3.685 mm, Pitch 1.27 mm","TO-92-3-29-11_AM_SL","Rev. AM","","Bulk Box","","BC557CG","","PNP","","","","","","","","","TRUE","","","","","","","","","","","","","","","Q?","Amplifier Transistor, PNP Silicon, 3-Pin TO-92, Pb-Free, Bulk Box"
"Transistor - BD139","BD139","","","","TO-225","80V","80V","500mV","80V","BD139G","","","","","","","","","","Tin","1.5A","","","","","","Single","5V","","","11.04mm","25","","","","","","Lead Free","7.74mm","Production","","ACTIVE","","","","1.5A","150°C","150°C","1.25W","","","","-55°C","","","","","","","354669","1","","3","","","","","","","","","","Bulk","","","","","NPN","1.25W","","","","No","No SVHC","","","Compliant","","8541290080, 8541290080|8541290080, 8541290080|8541290080|8541290080, 8541290080|8541290080|8541290080|8541290080","","","","","","","","","80V","4.535924g","2.66mm","","Q?",""
"Transistor - BDW93C","BDW94C","","","","TO-220-3","100V","100V","2V","100V","BDW93C","","","","","","","","","","Tin","12A","","","","","","Single","12V","","","9.4mm","750","","","","","","Lead Free","10.1mm","EOL","","LAST SHIPMENTS","","","","12A","150°C","150°C","80W","","","","-65°C","","Through Hole","","","","","84324666","1","","3","","","","","","","","","","Bulk","","","","","NPN","80W","","","","No","No SVHC","","","Compliant","","8541290080, 8541290080|8541290080, 8541290080|8541290080|8541290080, 8541290080|8541290080|8541290080|8541290080","","","","","","","","","100V","1.8g","4.7mm","","Q?","BDW93C BDW93C Series 100 V 12 A 80 W NPN Darlington Transistor - TO-220-3"
"Transistor - BDW94C","BDW94C","BDW94C","https://www.arrow.com/en/products/bdw94c/stmicroelectronics?utm_currency=USD&region=nac","","","","","","","*","","","","","","","","","","","","http://www.st.com/web/en/resource/technical/document/datasheet/CD00000925.pdf","","","","","","","","","4.6mm","","","","","","","","","","","","","STMicroelectronics","BDW94C","","","","","","","","","","","","","511-BDW94C","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/BDW94C?qs=ljbEvF4DwOM3QQOPDay3pQ%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Q?","Transistor BJT PNP"
